,,,,Promedio,Desviación
10,,,10,13.2175,5.532183135
12,5.347896783,,30,9.805666667,1.633745985
12,5.196152423,,50,7.2583,2.581431226
12,4.732863826,,100,25.84645,50.50258457
12.2,5.075431016,,200,21.60720603,34.85123245
12.2,4.489988864,,500,13.27522613,10.12787901
12.2,5.075431016,,1000,18.30245477,6.916393169
13.9,5.204805472,,2000,9.509075949,8.42536664
13.9,4.948737213,,,,
14,4.75394573,,,,
14,5.196152423,,,,
14,4.604345773,,,,
14,4.472135955,,,,
14,4.472135955,,,,
14,4.472135955,,,,
14,4.242640687,,,,
14,4.494441011,,,,
14,3.847076812,,,,
13.7,6.148983656,,,,
14,5.761944116,,,,
14,5.495452666,,,,
14.4,8.822698,,,,
14,5.639148872,,,,
14.5,8.857200461,,,,
14.3,5.640035461,,,,
14.9,5.44885309,,,,
16,8.602325267,,,,
16.4,9.56242647,,,,
16.3,4.605431576,,,,
16.5,3.905124838,,,,
16.6,3.555277767,,,,
16,3.768288736,,,,
16,3.768288736,,,,
16.5,3.324154028,,,,
15.9,3.534119409,,,,
16.6,3.746998799,,,,
16,3.521363372,,,,
15.7,3.742993454,,,,
16,3.405877273,,,,
15.9,3.534119409,,,,
16.9,4.9689033,,,,
17.2,4.707440918,,,,
17.2,4.812483766,,,,
16.5,6.438167441,,,,
16.3,7.887331615,,,,
16.6,5.660388679,,,,
16.7,4.405678154,,,,
16.6,5.765414122,,,,
16.7,4.64865572,,,,
16.8,6.144916598,,,,
16.5,6.530696747,,,,
16.7,4.64865572,,,,
16.9,4.253234064,,,,
16.6,3.720215048,,,,
16.7,3.606937759,,,,
16.6,3.527038418,,,,
16.1,3.726929031,,,,
16.1,3.672873534,,,,
16.7,4.220189569,,,,
15.8,3.919183588,,,,
16,3.346640106,,,,
16,3.577708764,,,,
16.4,8.089499366,,,,
16.6,4.431703961,,,,
16.6,7.14422844,,,,
16.6,5.06359556,,,,
16.5,10.11187421,,,,
16.9,5.717516944,,,,
15.9,5.539855594,,,,
17.1,5.146843693,,,,
17.1,4.635730795,,,,
16.9,5.068530359,,,,
16.9,8.619164693,,,,
17,5.513619501,,,,
17,4.795831523,,,,
17,5.458937626,,,,
17.1,4.948737213,,,,
16.7,4.405678154,,,,
17,4.795831523,,,,
16.6,3.8,,,,
16.5,3.471310992,,,,
17.1,4.635730795,,,,
17,4.427188724,,,,
17.1,4.3,,,,
17.1,4.3,,,,
17,4.472135955,,,,
18.1,3.832753579,,,,
17,4.427188724,,,,
18.9,6.920260111,,,,
17.7,5.404627647,,,,
17.7,5.177837386,,,,
17.7,4.754997371,,,,
17.8,4.915282291,,,,
17.9,4.459820624,,,,
18.2,4.53431362,,,,
17.7,4.627094121,,,,
18,4.5607017,,,,
18,4.494441011,,,,
18.1,4.369210455,,,,
18.5,7.172865536,,,,
18.8,9.693296653,,,,
18.9,11.17541946,,,,
10.2,6.779380503,,,,
10.3,6.32534584,,,,
10.3,6.481512169,,,,
10.2,6.305553108,,,,
10.5,5.296225071,,,,
10.5,5.445181356,,,,
10.7,5.36749476,,,,
10,5.347896783,,,,
10.1,5.521775077,,,,
10.1,5.467174773,,,,
10,5.477225575,,,,
10.1,5.557877293,,,,
10.1,5.769748695,,,,
10.1,6.378871374,,,,
10.3,5.692978131,,,,
10,5.039841267,,,,
10.3,7.92527602,,,,
10.5,8.440971508,,,,
10.4,8.002499609,,,,
10.4,8.2,,,,
10.6,8.452218644,,,,
12.1,6.204030948,,,,
10.8,8.471127434,,,,
10.9,7.854298186,,,,
13.5,6.652067348,,,,
13,7.238784428,,,,
13.1,7.258787778,,,,
13.2,6.734983296,,,,
13.2,7.124605252,,,,
13.2,6.9828361,,,,
13.5,6.606814664,,,,
13.4,6.785278181,,,,
13.4,6.814690015,,,,
12,9.38083152,,,,
14,6.196773354,,,,
12.5,5.835237784,,,,
14.1,6.833008122,,,,
13.2,8.964373932,,,,
14.1,6.106553856,,,,
14,5.899152482,,,,
14.1,5.957348403,,,,
14.5,5.970762095,,,,
14,5.709640969,,,,
14,5.709640969,,,,
13.7,5.404627647,,,,
14.3,5.86600375,,,,
14.6,6.343500611,,,,
14,5.567764363,,,,
14,5.403702434,,,,
12.8,7.639371702,,,,
13.8,5.173006863,,,,
13.7,5.292447449,,,,
13.6,7.445804188,,,,
13.6,7.391887445,,,,
15,6.648308055,,,,
13.8,7.208328516,,,,
13.8,8.784076502,,,,
13.9,7.647875522,,,,
13.8,8.623224455,,,,
14,9.110433579,,,,
13.9,7.502666193,,,,
13.8,8.818163074,,,,
14.8,6.289674077,,,,
13.6,8.674099377,,,,
13.5,7.940403012,,,,
13.9,8.993886813,,,,
14,9.143303561,,,,
15.3,6.435060217,,,,
14.9,6.487680633,,,,
13.4,13.35814358,,,,
14.1,9.533624704,,,,
13.3,13.15332658,,,,
13.9,9.428149341,,,,
13.5,13.321036,,,,
13.4,13.3056379,,,,
13.4,13.39552164,,,,
1.8,0.6,,,,
2,0.447213595,,,,
2,0.894427191,,,,
2.1,0.538516481,,,,
2,0.894427191,,,,
2.2,0.748331477,,,,
2.4,1.624807681,,,,
2.3,1.004987562,,,,
2.5,1.360147051,,,,
2.6,2.107130751,,,,
2.1,1.220655562,,,,
2.7,2.051828453,,,,
2.6,1.624807681,,,,
2.2,1.077032961,,,,
2.8,2.039607805,,,,
2.3,0.781024968,,,,
2.7,2.051828453,,,,
2.8,2.039607805,,,,
2.3,0.781024968,,,,
2.8,2.039607805,,,,
2.7,2.051828453,,,,
2.8,2.039607805,,,,
2.7,1.9,,,,
,,,,,
30,,,,,
6.433333333,2.906123803,,,,
6.5,3.232645975,,,,
6.166666667,2.781885851,,,,
6.366666667,3.114303917,,,,
6.8,3.646002377,,,,
6.3,3.110734104,,,,
6.6,3.611094017,,,,
6.7,3.247049943,,,,
6.6,3.62950869,,,,
6.7,3.446254005,,,,
6.833333333,3.615552824,,,,
7.033333333,4.028923209,,,,
6.966666667,3.962182339,,,,
7,3.376388603,,,,
7.133333333,4.30297055,,,,
7.366666667,4.028923209,,,,
6.666666667,4.068851872,,,,
7.3,4.810751847,,,,
7.233333333,4.120544732,,,,
7.9,5.061949559,,,,
7.9,4.692902442,,,,
7.733333333,4.82999885,,,,
7.233333333,4.047083998,,,,
7.3,4.670117772,,,,
8.433333333,4.828273213,,,,
7.6,4.506291898,,,,
7.733333333,4.704135297,,,,
8.133333333,4.903966648,,,,
7.733333333,4.84378181,,,,
7.966666667,5.307123096,,,,
7.7,5.465955238,,,,
7.933333333,4.538232647,,,,
8.466666667,5.064473209,,,,
7.7,5.39845657,,,,
8.466666667,4.58063557,,,,
9.233333333,5.463108598,,,,
8.633333333,5.449668695,,,,
9.1,4.735328218,,,,
9.133333333,6.108645967,,,,
8.9,5.337602458,,,,
9.266666667,5.111642484,,,,
8.566666667,5.577833112,,,,
9.366666667,5.770518945,,,,
9.6,5.583308458,,,,
9.1,6.246865881,,,,
9.7,6.110919189,,,,
9.533333333,5.719751354,,,,
9.466666667,5.87499409,,,,
9.633333333,5.522579912,,,,
9.7,5.093459859,,,,
9.5,5.42678542,,,,
10.03333333,5.64200516,,,,
9.633333333,5.729940857,,,,
9.366666667,6.204747286,,,,
9.866666667,6.070328565,,,,
9.933333333,6.260635396,,,,
9.766666667,5.948015542,,,,
9.866666667,6.042810237,,,,
9.7,5.98414572,,,,
9.866666667,6.401735876,,,,
9.666666667,6.01294899,,,,
9.933333333,5.609119559,,,,
9.866666667,5.970669049,,,,
9.966666667,6.665749937,,,,
9.7,6.419501538,,,,
10.2,5.87310253,,,,
9.733333333,6.174859423,,,,
9.5,4.624211645,,,,
9.6,4.543126677,,,,
9.333333333,6.139127698,,,,
9.666666667,5.185449729,,,,
9.533333333,5.783501438,,,,
9.633333333,6.035911052,,,,
9.433333333,6.173509717,,,,
9.6,6.770524352,,,,
9.666666667,6.095535707,,,,
9.433333333,6.50990698,,,,
10.43333333,5.800478907,,,,
9.5,6.830080527,,,,
10.5,6.097813816,,,,
9.633333333,7.162324266,,,,
9.7,7.132788141,,,,
10.56666667,6.611521929,,,,
